"Candidate","Older2015To2018Net","Newer2019To2020Net","Continuous2015To2020Net","ContinuousProfitFactor","ContinuousMaxDrawdownPercent","ContinuousTrades","ContinuousWinRatePercent","ContinuousRecoveryFactor","BothDisjointErasPositive","ProfitFactorAtLeast120","TradesAtLeast40","DrawdownAtMost5Percent","DiscoveryGatePass","Decision"
"pwbr_adx18","-57.2","33.05","-24.15","0.81","0.73","24","37.5","-0.33","False","False","False","True","False","REJECTED_NO_RECENT_NO_MODEL4"
"pwbr_volume_both","-33.75","0","-33.75","0","0.43","4","0","-0.79","False","False","False","True","False","REJECTED_NO_RECENT_NO_MODEL4"
"pwbr_retest_tight","-54.73","19.63","-35.1","0.36","0.69","8","25","-0.51","False","False","False","True","False","REJECTED_NO_RECENT_NO_MODEL4"
"pwbr_retest_loose","-54.15","17.8","-36.35","0.87","1.56","59","42.37","-0.23","False","False","True","True","False","REJECTED_NO_RECENT_NO_MODEL4"
"pwbr_break_strict","-64.1","19.21","-44.89","0.63","0.88","21","33.33","-0.51","False","False","False","True","False","REJECTED_NO_RECENT_NO_MODEL4"
"pwbr_rr25","-87.07","31.19","-55.88","0.68","1.15","30","33.33","-0.48","False","False","False","True","False","REJECTED_NO_RECENT_NO_MODEL4"
"pwbr_age12","-92.77","33.05","-59.72","0.68","1.07","32","34.38","-0.56","False","False","False","True","False","REJECTED_NO_RECENT_NO_MODEL4"
"pwbr_age4","-83.57","23.1","-60.47","0.59","1.07","25","32","-0.56","False","False","False","True","False","REJECTED_NO_RECENT_NO_MODEL4"
"pwbr_base","-101.04","33.05","-67.99","0.61","1.24","30","33.33","-0.55","False","False","False","True","False","REJECTED_NO_RECENT_NO_MODEL4"
"pwbr_rr15","-101.38","32.41","-68.97","0.6","1.17","30","33.33","-0.59","False","False","False","True","False","REJECTED_NO_RECENT_NO_MODEL4"
"pwbr_buffer15","-91.38","21.75","-69.63","0.58","1.15","28","32.14","-0.61","False","False","False","True","False","REJECTED_NO_RECENT_NO_MODEL4"
"pwbr_break_loose","-115.53","34.21","-81.32","0.63","1.31","37","32.43","-0.62","False","False","False","True","False","REJECTED_NO_RECENT_NO_MODEL4"
"pwbr_no_trend","-111.19","24.73","-86.46","0.59","1.25","35","31.43","-0.69","False","False","False","True","False","REJECTED_NO_RECENT_NO_MODEL4"
"pwbr_session_off","-103.79","15.19","-88.6","0.65","1.24","42","30.95","-0.71","False","False","True","True","False","REJECTED_NO_RECENT_NO_MODEL4"
