"Rank","Priority","Profile","Phase","Set","Window","From","To","Status","NetProfit","Balance","LogTimestamp","RunnerStatus","Evidence"
"1","","no_m1shock","full","full","continuous_2024_2026","2024.01.01","2026.07.12","PARSED_FROM_LOG","1288.93","2288.93","2026-07-12T13:39:09","NO_REPORT","Tester finished but no report file was found for realtick_dec_islp_guard_no_m1shock_continuous_2024_2026."
"2","","no_m1shock","train","train","full2024","2024.01.01","2024.12.31","PARSED_FROM_LOG","1425.73","2425.73","2026-07-12T13:39:37","NO_REPORT","Tester finished but no report file was found for realtick_dec_islp_guard_no_m1shock_full2024."
"3","","no_m1shock","oos","oos","full2025","2025.01.01","2025.12.31","PARSED_FROM_LOG","214.3","1214.3","2026-07-12T13:40:03","NO_REPORT","Tester finished but no report file was found for realtick_dec_islp_guard_no_m1shock_full2025."
"4","","no_m1shock","recent","recent","ytd2026","2026.01.01","2026.07.12","PARSED_FROM_LOG","955.21","1955.21","2026-07-12T13:40:52","NO_REPORT","Tester finished but no report file was found for realtick_dec_islp_guard_no_m1shock_ytd2026."
"5","","no_m1shock","weak","weak","q4_2024","2024.10.01","2024.12.31","PARSED_FROM_LOG","-4.55","995.45","2026-07-12T13:41:08","NO_REPORT","Tester finished but no report file was found for realtick_dec_islp_guard_no_m1shock_q4_2024."
"6","","no_m1shock","weak","weak","q4_2025","2025.10.01","2025.12.31","PARSED_FROM_LOG","196","1196","2026-07-12T13:41:25","NO_REPORT","Tester finished but no report file was found for realtick_dec_islp_guard_no_m1shock_q4_2025."
"7","","dec_islp_off","full","full","continuous_2024_2026","2024.01.01","2026.07.12","PARSED_FROM_LOG","4507.51","5507.51","2026-07-12T13:42:48","NO_REPORT","Tester finished but no report file was found for realtick_dec_islp_guard_dec_islp_off_continuous_2024_2026."
"8","","dec_islp_off","train","train","full2024","2024.01.01","2024.12.31","PARSED_FROM_LOG","1549.23","2549.23","2026-07-12T13:43:16","NO_REPORT","Tester finished but no report file was found for realtick_dec_islp_guard_dec_islp_off_full2024."
"9","","dec_islp_off","oos","oos","full2025","2025.01.01","2025.12.31","PARSED_FROM_LOG","214.3","1214.3","2026-07-12T13:43:42","NO_REPORT","Tester finished but no report file was found for realtick_dec_islp_guard_dec_islp_off_full2025."
"10","","dec_islp_off","recent","recent","ytd2026","2026.01.01","2026.07.12","PARSED_FROM_LOG","955.21","1955.21","2026-07-12T13:44:31","NO_REPORT","Tester finished but no report file was found for realtick_dec_islp_guard_dec_islp_off_ytd2026."
"11","","dec_islp_off","weak","weak","q4_2024","2024.10.01","2024.12.31","PARSED_FROM_LOG","46.75","1046.75","2026-07-12T13:44:44","NO_REPORT","Tester finished but no report file was found for realtick_dec_islp_guard_dec_islp_off_q4_2024."
"12","","dec_islp_off","weak","weak","q4_2025","2025.10.01","2025.12.31","PARSED_FROM_LOG","196","1196","2026-07-12T13:45:01","NO_REPORT","Tester finished but no report file was found for realtick_dec_islp_guard_dec_islp_off_q4_2025."
