"Rank","Priority","Phase","Profile","Set","Window","From","To","ExpectedReportName","Deposit"
"1","1","reversion_retracement_entry_discovery_model1","rre_control","control","older_2015_2018","2015.01.01","2018.12.31","rre_control_older_2015_2018_m1","10000"
"2","2","reversion_retracement_entry_discovery_model1","rre_control","control","later_2019_2020","2019.01.01","2020.12.31","rre_control_later_2019_2020_m1","10000"
"3","3","reversion_retracement_entry_discovery_model1","rre_control","control","continuous_2015_2020","2015.01.01","2020.12.31","rre_control_continuous_2015_2020_m1","10000"
"4","4","reversion_retracement_entry_discovery_model1","rre_offset10","lower_offset_support","older_2015_2018","2015.01.01","2018.12.31","rre_offset10_older_2015_2018_m1","10000"
"5","5","reversion_retracement_entry_discovery_model1","rre_offset10","lower_offset_support","later_2019_2020","2019.01.01","2020.12.31","rre_offset10_later_2019_2020_m1","10000"
"6","6","reversion_retracement_entry_discovery_model1","rre_offset10","lower_offset_support","continuous_2015_2020","2015.01.01","2020.12.31","rre_offset10_continuous_2015_2020_m1","10000"
"7","7","reversion_retracement_entry_discovery_model1","rre_center15","center","older_2015_2018","2015.01.01","2018.12.31","rre_center15_older_2015_2018_m1","10000"
"8","8","reversion_retracement_entry_discovery_model1","rre_center15","center","later_2019_2020","2019.01.01","2020.12.31","rre_center15_later_2019_2020_m1","10000"
"9","9","reversion_retracement_entry_discovery_model1","rre_center15","center","continuous_2015_2020","2015.01.01","2020.12.31","rre_center15_continuous_2015_2020_m1","10000"
"10","10","reversion_retracement_entry_discovery_model1","rre_offset20","upper_offset_support","older_2015_2018","2015.01.01","2018.12.31","rre_offset20_older_2015_2018_m1","10000"
"11","11","reversion_retracement_entry_discovery_model1","rre_offset20","upper_offset_support","later_2019_2020","2019.01.01","2020.12.31","rre_offset20_later_2019_2020_m1","10000"
"12","12","reversion_retracement_entry_discovery_model1","rre_offset20","upper_offset_support","continuous_2015_2020","2015.01.01","2020.12.31","rre_offset20_continuous_2015_2020_m1","10000"
"13","13","reversion_retracement_entry_discovery_model1","rre_center15_bars2","lifetime_support","older_2015_2018","2015.01.01","2018.12.31","rre_center15_bars2_older_2015_2018_m1","10000"
"14","14","reversion_retracement_entry_discovery_model1","rre_center15_bars2","lifetime_support","later_2019_2020","2019.01.01","2020.12.31","rre_center15_bars2_later_2019_2020_m1","10000"
"15","15","reversion_retracement_entry_discovery_model1","rre_center15_bars2","lifetime_support","continuous_2015_2020","2015.01.01","2020.12.31","rre_center15_bars2_continuous_2015_2020_m1","10000"
